Prof, Course, Course Number, Average, Term
KHANDELWAL M,AACS,107,3.454545455,f2019
KHANDELWAL M,AACS,107,3.973,s2022
KHANDELWAL M,AACS,107,3.643,s2023
HO V,ACCT,100,3.647368421,f2017
HO V,ACCT,100,3.5875,f2018
HO V,ACCT,100,3.611764706,f2019
HO V,ACCT,100,3.642105263,f2020
HO V,ACCT,100,3.4,f2021
HO V,ACCT,100,3.383,f2022
HO V,ACCT,100,3.331,f2023
HO V,ACCT,100,3.405555556,s2018
HO V,ACCT,100,3.445454545,s2019
HO V,ACCT,100,3.626666667,s2020
HO V,ACCT,100,3.429,s2022
HO V,ACCT,100,3.382,s2023
DAUBER N,ACCT,101,1.883673469,f2017
GRUZA M,ACCT,101,2.275,f2017
RUTHIZER S,ACCT,101,2.589795918,f2017
ERLACH D,ACCT,101,2.422972973,f2017
FEISULLIN A,ACCT,101,2.761904762,f2017
SOLARSH E,ACCT,101,3.140740741,f2017
RUTHIZER S,ACCT,101,2.376315789,f2017
ZAPF M,ACCT,101,2.069230769,f2017
SOLARSH E,ACCT,101,2.869230769,f2017
CHAN J,ACCT,101,3.604761905,f2017
MINTZ C,ACCT,101,3.4,f2017
MINTZ C,ACCT,101,3.728571429,f2018
CHAN J,ACCT,101,3.669230769,f2018
SOLARSH E,ACCT,101,2.881081081,f2018
FEISULLIN A,ACCT,101,2.702439024,f2018
SOLARSH E,ACCT,101,2.633333333,f2018
ERLACH D,ACCT,101,2.515384615,f2018
GRUZA M,ACCT,101,2.242857143,f2018
ERLACH D,ACCT,101,2.233333333,f2018
RUTHIZER S,ACCT,101,2.217777778,f2018
RUTHIZER S,ACCT,101,2.032142857,f2018
DAUBER N,ACCT,101,1.981818182,f2018
UDDIN M,ACCT,101,1.841666667,f2018
CHAN J,ACCT,101,3.73125,f2019
MINTZ C,ACCT,101,3.393333333,f2019
GRUZA M,ACCT,101,2.841666667,f2019
SOLARSH E,ACCT,101,2.526086957,f2019
FEISULLIN A,ACCT,101,2.272727273,f2019
FEISULLIN A,ACCT,101,2.248888889,f2019
COWAN DOCKERY M,ACCT,101,2.151851852,f2019
RUTHIZER S,ACCT,101,2.14137931,f2019
SOLARSH E,ACCT,101,2.128571429,f2019
HUANG Q,ACCT,101,2.068,f2019
DAUBER N,ACCT,101,2.062068966,f2019
RUTHIZER S,ACCT,101,1.948148148,f2019
SOLARSH E,ACCT,101,3.665517241,f2020
FEISULLIN A,ACCT,101,3.66,f2020
SOLARSH E,ACCT,101,3.556756757,f2020
CHAN J,ACCT,101,3.434883721,f2020
HUANG Q,ACCT,101,3.3,f2020
RUTHIZER S,ACCT,101,3.205882353,f2020
RUTHIZER S,ACCT,101,3.106896552,f2020
GRUZA M,ACCT,101,2.872727273,f2020
DAUBER N,ACCT,101,2.587096774,f2020
COWAN DOCKERY M,ACCT,101,2.076,f2020
SOLARSH E,ACCT,101,3.713,f2021
FEISULLIN A,ACCT,101,3.695,f2021
HERSKOWITZ C,ACCT,101,3.521,f2021
CHAN J,ACCT,101,3.33,f2021
SOLARSH E,ACCT,101,3.267,f2021
HUANG Q,ACCT,101,3.05,f2021
GRUZA M,ACCT,101,3.011,f2021
DAUBER N,ACCT,101,2.585,f2021
RUTHIZER S,ACCT,101,2.518,f2021
RUTHIZER S,ACCT,101,2.37,f2021
COWAN DOCKERY M,ACCT,101,2.309,f2021
CHAN J,ACCT,101,3.464,f2022
RUTHIZER S,ACCT,101,3.176,f2022
GRUZA M,ACCT,101,3.067,f2022
FEISULLIN A,ACCT,101,2.908,f2022
COWAN DOCKERY M,ACCT,101,2.771,f2022
THALER M,ACCT,101,2.674,f2022
SOLARSH E,ACCT,101,2.594,f2022
SOLARSH E,ACCT,101,2.553,f2022
DAUBER N,ACCT,101,1.992,f2022
CHAN J,ACCT,101,3.328,f2023
COWAN DOCKERY M,ACCT,101,2.894,f2023
HEASLIP K,ACCT,101,2.66,f2023
SUH J,ACCT,101,2.506,f2023
ROSANO E,ACCT,101,2.497,f2023
HEASLIP K,ACCT,101,2.47,f2023
RUTHIZER S,ACCT,101,2.338,f2023
DAUBER N,ACCT,101,2.2,f2023
HEASLIP K,ACCT,101,2.192,f2023
UDDIN M,ACCT,101,2.155,f2023
ROSANO E,ACCT,101,2.121,f2023
ZHANG Y,ACCT,101,2.071,f2023
DAUBER N,ACCT,101,2.115384615,s2018
GRUZA M,ACCT,101,2.042857143,s2018
ERLACH D,ACCT,101,2.221428571,s2018
RUTHIZER S,ACCT,101,2.159183673,s2018
ERLACH D,ACCT,101,2.551351351,s2018
FEISULLIN A,ACCT,101,2.563265306,s2018
SOLARSH E,ACCT,101,3.002564103,s2018
RUTHIZER S,ACCT,101,1.848648649,s2018
ZAPF M,ACCT,101,2.478571429,s2018
SOLARSH E,ACCT,101,2.777272727,s2018
CHAN J,ACCT,101,3.765306122,s2018
MINTZ C,ACCT,101,3.366666667,s2018
CHAN J,ACCT,101,3.797777778,s2019
MINTZ C,ACCT,101,3.463636364,s2019
GRUZA M,ACCT,101,2.805882353,s2019
SOLARSH E,ACCT,101,2.654347826,s2019
FEISULLIN A,ACCT,101,2.533333333,s2019
DAUBER N,ACCT,101,2.351351351,s2019
FEISULLIN A,ACCT,101,2.330952381,s2019
FEISULLIN A,ACCT,101,2.23255814,s2019
RUTHIZER S,ACCT,101,2.221875,s2019
SOLARSH E,ACCT,101,2.2,s2019
RUTHIZER S,ACCT,101,1.741860465,s2019
FEISULLIN A,ACCT,101,3.748717949,s2020
CHAN J,ACCT,101,3.661538462,s2020
RUTHIZER S,ACCT,101,3.488571429,s2020
FEISULLIN A,ACCT,101,3.479310345,s2020
SOLARSH E,ACCT,101,3.47,s2020
RUTHIZER S,ACCT,101,3.4325,s2020
SOLARSH E,ACCT,101,3.319354839,s2020
FEISULLIN A,ACCT,101,3.262790698,s2020
GRUZA M,ACCT,101,3.105555556,s2020
HUANG Q,ACCT,101,2.8875,s2020
DAUBER N,ACCT,101,2.491304348,s2020
COWAN DOCKERY M,ACCT,101,2.3,s2020
FEISULLIN A,ACCT,101,3.704347826,s2021
SOLARSH E,ACCT,101,3.569387755,s2021
CHAN J,ACCT,101,3.544230769,s2021
SOLARSH E,ACCT,101,3.489090909,s2021
FEISULLIN A,ACCT,101,3.237931034,s2021
RUTHIZER S,ACCT,101,3.179545455,s2021
RUTHIZER S,ACCT,101,3.012244898,s2021
GRUZA M,ACCT,101,2.938461538,s2021
HUANG Q,ACCT,101,2.748,s2021
DAUBER N,ACCT,101,2.394117647,s2021
COWAN DOCKERY M,ACCT,101,1.822727273,s2021
THALER M,ACCT,101,3.185,s2022
CHAN J,ACCT,101,3.18,s2022
HUANG Q,ACCT,101,3.031,s2022
GRUZA M,ACCT,101,2.824,s2022
SOLARSH E,ACCT,101,2.711,s2022
RUTHIZER S,ACCT,101,2.468,s2022
SOLARSH E,ACCT,101,2.467,s2022
RUTHIZER S,ACCT,101,2.383,s2022
FEISULLIN A,ACCT,101,2.294,s2022
DAUBER N,ACCT,101,1.856,s2022
COWAN DOCKERY M,ACCT,101,1.663,s2022
CHAN J,ACCT,101,3.448,s2023
FEISULLIN A,ACCT,101,2.918,s2023
SUN F,ACCT,101,2.634,s2023
GRUZA M,ACCT,101,2.565,s2023
RUTHIZER S,ACCT,101,2.555,s2023
ROSANO E,ACCT,101,2.554,s2023
COWAN DOCKERY M,ACCT,101,2.43,s2023
XIAO J,ACCT,101,2.139,s2023
DAUBER N,ACCT,101,2.097,s2023
XIAO J,ACCT,101,1.739,s2023
GRUZA M,ACCT,102,2,f2017
ERLACH D,ACCT,102,2.576315789,f2017
FEISULLIN A,ACCT,102,2.8,f2017
DAVID A,ACCT,102,2.126470588,f2017
SUN F,ACCT,102,2.238461538,f2017
KESSAR N,ACCT,102,2.22,f2017
BENJAMIN R,ACCT,102,2.621212121,f2017
KHANNA H,ACCT,102,2.962790698,f2017
BENJAMIN R,ACCT,102,2.268292683,f2017
SUN F,ACCT,102,3.1,f2018
ERLACH D,ACCT,102,2.820512821,f2018
KHANNA H,ACCT,102,2.711764706,f2018
FEISULLIN A,ACCT,102,2.548648649,f2018
GRUZA M,ACCT,102,2.380952381,f2018
BENJAMIN R,ACCT,102,2.175675676,f2018
BENJAMIN R,ACCT,102,2.0,f2018
DAVID A,ACCT,102,1.997297297,f2018
BENJAMIN R,ACCT,102,3.3,f2019
LUO C,ACCT,102,3.033333333,f2019
FEISULLIN A,ACCT,102,2.712195122,f2019
FEISULLIN A,ACCT,102,2.690243902,f2019
BENJAMIN R,ACCT,102,2.575,f2019
GRUZA M,ACCT,102,2.403571429,f2019
DAVID A,ACCT,102,2.023076923,f2019
RUTHIZER S,ACCT,102,1.874193548,f2019
RUTHIZER S,ACCT,102,1.77,f2019
LUO C,ACCT,102,3.594117647,f2020
FEISULLIN A,ACCT,102,3.515909091,f2020
FEISULLIN A,ACCT,102,3.454347826,f2020
RUTHIZER S,ACCT,102,3.443181818,f2020
RUTHIZER S,ACCT,102,3.302439024,f2020
DAVID A,ACCT,102,3.280645161,f2020
GRUZA M,ACCT,102,3.076470588,f2020
FEISULLIN A,ACCT,102,3.533,f2021
LUO C,ACCT,102,3.075,f2021
DAVID A,ACCT,102,2.878,f2021
DAVID A,ACCT,102,2.829,f2021
GRUZA M,ACCT,102,2.807,f2021
RUTHIZER S,ACCT,102,2.652,f2021
FEISULLIN A,ACCT,102,2.997,f2022
RUTHIZER S,ACCT,102,2.864,f2022
RUBIN M,ACCT,102,2.54,f2022
DAVID A,ACCT,102,2.485,f2022
GRUZA M,ACCT,102,2.471,f2022
DAVID A,ACCT,102,2.409,f2022
RUTHIZER S,ACCT,102,2.923,f2023
COWAN DOCKERY M,ACCT,102,2.357,f2023
YAN Y,ACCT,102,2.331,f2023
DAVID A,ACCT,102,1.857,f2023
PIETRUSIEWICZ K,ACCT,102,1.857,f2023
DAVID A,ACCT,102,1.677,f2023
GRUZA M,ACCT,102,2.29375,s2018
ERLACH D,ACCT,102,2.637777778,s2018
FEISULLIN A,ACCT,102,2.665217391,s2018
DAVID A,ACCT,102,2.192105263,s2018
SUN F,ACCT,102,2.596875,s2018
BENJAMIN R,ACCT,102,2.55,s2018
KHANNA H,ACCT,102,2.86,s2018
BENJAMIN R,ACCT,102,2.624137931,s2018
KHANNA H,ACCT,102,2.8,s2019
SUN F,ACCT,102,2.643333333,s2019
GRUZA M,ACCT,102,2.6,s2019
BENJAMIN R,ACCT,102,2.529166667,s2019
RUTHIZER S,ACCT,102,2.475,s2019
BENJAMIN R,ACCT,102,2.459375,s2019
FEISULLIN A,ACCT,102,2.444444444,s2019
DAVID A,ACCT,102,1.910714286,s2019
RUTHIZER S,ACCT,102,3.83255814,s2020
LUO C,ACCT,102,3.64,s2020
RUTHIZER S,ACCT,102,3.565625,s2020
SUN F,ACCT,102,3.475,s2020
FEISULLIN A,ACCT,102,3.419047619,s2020
DAVID A,ACCT,102,3.348,s2020
GRUZA M,ACCT,102,2.723529412,s2020
FEISULLIN A,ACCT,102,3.35625,s2021
RUTHIZER S,ACCT,102,3.356,s2021
FEISULLIN A,ACCT,102,3.179591837,s2021
LUO C,ACCT,102,3.161764706,s2021
DAVID A,ACCT,102,3.16122449,s2021
GRUZA M,ACCT,102,2.509090909,s2021
RUTHIZER S,ACCT,102,2.793,s2022
DAVID A,ACCT,102,2.538,s2022
RUBIN M,ACCT,102,2.308,s2022
GRUZA M,ACCT,102,2.25,s2022
DAVID A,ACCT,102,2.054,s2022
FEISULLIN A,ACCT,102,2.052,s2022
RUTHIZER S,ACCT,102,3.126,s2023
FEISULLIN A,ACCT,102,3.036,s2023
RUBIN M,ACCT,102,2.591,s2023
DAVID A,ACCT,102,2.423,s2023
DAVID A,ACCT,102,2.145,s2023
GRUZA M,ACCT,102,1.727,s2023
HORNUNG D,ACCT,201,2.659615385,f2017
HORNUNG D,ACCT,201,2.801923077,f2017
LEVINE M,ACCT,201,2.466666667,f2017
LEVINE M,ACCT,201,2.1125,f2017
LAHIJANI R,ACCT,201,1.84,f2017
NUSSBAUM S,ACCT,201,2.572340426,f2017
WASSERSTRUM D,ACCT,201,3.412,f2017
WASSERSTRUM D,ACCT,201,3.461363636,f2018
HORNUNG D,ACCT,201,2.788636364,f2018
ZAPF M,ACCT,201,2.769230769,f2018
LEVINE M,ACCT,201,2.422727273,f2018
WEISS R,ACCT,201,2.375862069,f2018
LEVINE M,ACCT,201,2.126829268,f2018
UDDIN M,ACCT,201,2.00625,f2018
HORNUNG D,ACCT,201,3.308333333,f2019
SUN T,ACCT,201,3.303225806,f2019
WEISS R,ACCT,201,2.923333333,f2019
ZAPF M,ACCT,201,2.686666667,f2019
COWAN DOCKERY M,ACCT,201,2.553125,f2019
SUN T,ACCT,201,2.503846154,f2019
UDDIN M,ACCT,201,1.677777778,f2019
WEISS R,ACCT,201,3.496551724,f2020
HORNUNG D,ACCT,201,3.331428571,f2020
SUN T,ACCT,201,3.209375,f2020
SUN T,ACCT,201,3.138709677,f2020
ZAPF M,ACCT,201,3.0625,f2020
COWAN DOCKERY M,ACCT,201,2.4,f2020
ZAPF M,ACCT,201,3.034,f2021
SUN T,ACCT,201,3.022,f2021
SUN T,ACCT,201,2.978,f2021
HORNUNG D,ACCT,201,2.919,f2021
SUN T,ACCT,201,2.762,f2021
COWAN DOCKERY M,ACCT,201,2.35,f2021
HEASLIP K,ACCT,201,2.766,f2022
HEASLIP K,ACCT,201,2.23,f2022
COWAN DOCKERY M,ACCT,201,2.229,f2022
MAZZO M,ACCT,201,2.058,f2022
SATENSTEIN J,ACCT,201,3.575,f2023
BARONE E,ACCT,201,2.731,f2023
UDDIN M,ACCT,201,2.286,f2023
HORNUNG D,ACCT,201,2.745,s2018
KUMAR V,ACCT,201,3.535714286,s2018
LEVINE M,ACCT,201,2.233962264,s2018
LEVINE M,ACCT,201,2.002325581,s2018
LAHIJANI R,ACCT,201,1.489655172,s2018
NUSSBAUM S,ACCT,201,3.043589744,s2018
WASSERSTRUM D,ACCT,201,3.691304348,s2018
HORNUNG D,ACCT,201,3.051612903,s2019
ZAPF M,ACCT,201,2.669230769,s2019
LEVINE M,ACCT,201,2.595833333,s2019
WEISS R,ACCT,201,2.513636364,s2019
WEISS R,ACCT,201,2.446666667,s2019
HUANG Q,ACCT,201,2.396666667,s2019
LEVINE M,ACCT,201,2.127272727,s2019
UDDIN M,ACCT,201,1.975,s2019
SUN T,ACCT,201,3.714285714,s2020
WEISS R,ACCT,201,3.577777778,s2020
COWAN DOCKERY M,ACCT,201,3.416666667,s2020
SUN T,ACCT,201,3.30625,s2020
HORNUNG D,ACCT,201,3.257142857,s2020
WEISS R,ACCT,201,3.205,s2020
ZAPF M,ACCT,201,3.110714286,s2020
UDDIN M,ACCT,201,2.375,s2020
SUN T,ACCT,201,3.465384615,s2021
SUN T,ACCT,201,3.339285714,s2021
COWAN DOCKERY M,ACCT,201,2.989473684,s2021
ZAPF M,ACCT,201,2.905405405,s2021
HORNUNG D,ACCT,201,2.563157895,s2021
WEISS R,ACCT,201,2.026086957,s2021
MAZZO M,ACCT,201,3.013,s2022
SUN T,ACCT,201,2.95,s2022
SUN T,ACCT,201,2.948,s2022
SUN T,ACCT,201,2.861,s2022
HORNUNG D,ACCT,201,2.67,s2022
COWAN DOCKERY M,ACCT,201,2.429,s2022
SATENSTEIN J,ACCT,201,3.739,s2023
BARONE E,ACCT,201,3.05,s2023
HEASLIP K,ACCT,201,2.569,s2023
HEASLIP K,ACCT,201,2.4,s2023
COWAN DOCKERY M,ACCT,201,2.086,s2023
HORNUNG D,ACCT,202,3.558695652,f2017
KUMAR V,ACCT,202,3.111111111,f2017
SCHWALB H,ACCT,202,2.584,f2017
SCHWALB H,ACCT,202,2.191428571,f2017
SCHWALB H,ACCT,202,2.532,f2017
KUMAR V,ACCT,202,3.432432432,f2017
DOCKERY M,ACCT,202,2.69,f2017
HORNUNG D,ACCT,202,3.489473684,f2018
KUMAR V,ACCT,202,3.303030303,f2018
HORNUNG D,ACCT,202,3.130952381,f2018
SCHWALB H,ACCT,202,2.634375,f2018
SCHWALB H,ACCT,202,2.55483871,f2018
COWAN DOCKERY M,ACCT,202,2.263414634,f2018
WEISS R,ACCT,202,2.135,f2018
HORNUNG D,ACCT,202,3.762068966,f2019
HORNUNG D,ACCT,202,3.546875,f2019
KUMAR V,ACCT,202,3.318181818,f2019
SCHWALB H,ACCT,202,2.785714286,f2019
SCHWALB H,ACCT,202,2.647058824,f2019
SCHWALB H,ACCT,202,2.518518519,f2019
WEISS R,ACCT,202,2.013793103,f2019
WEISS R,ACCT,202,3.560714286,f2020
KUMAR V,ACCT,202,3.526315789,f2020
HORNUNG D,ACCT,202,3.25862069,f2020
HORNUNG D,ACCT,202,3.196428571,f2020
SCHWALB H,ACCT,202,3.064705882,f2020
SCHWALB H,ACCT,202,2.9625,f2020
SCHWALB H,ACCT,202,2.5125,f2020
SCHWALB H,ACCT,202,3.058,f2021
SCHWALB H,ACCT,202,2.933,f2021
SCHWALB H,ACCT,202,2.741,f2021
HORNUNG D,ACCT,202,2.503,f2021
KUMAR V,ACCT,202,2.417,f2021
HORNUNG D,ACCT,202,2.4,f2021
KUMAR V,ACCT,202,4.0,f2022
ROSANO E,ACCT,202,3.256,f2022
SCHWALB H,ACCT,202,2.938,f2022
SCHWALB H,ACCT,202,2.907,f2022
ROSANO E,ACCT,202,2.765,f2022
HEASLIP K,ACCT,202,2.3,f2022
KUMAR V,ACCT,202,3.364,f2023
MAZZO M,ACCT,202,2.181,f2023
MAZZO M,ACCT,202,1.738,f2023
HORNUNG D,ACCT,202,3.503773585,s2018
HORNUNG D,ACCT,202,3.224074074,s2018
SCHWALB H,ACCT,202,2.66969697,s2018
KUMAR V,ACCT,202,3.291666667,s2018
SCHWALB H,ACCT,202,2.42173913,s2018
KUMAR V,ACCT,202,3.444444444,s2018
COWAN DOCKERY M,ACCT,202,2.4,s2018
HORNUNG D,ACCT,202,3.509302326,s2019
KUMAR V,ACCT,202,3.290322581,s2019
HORNUNG D,ACCT,202,3.235,s2019
SCHWALB H,ACCT,202,2.82,s2019
WEISS R,ACCT,202,2.760714286,s2019
SCHWALB H,ACCT,202,2.737037037,s2019
SCHWALB H,ACCT,202,2.330434783,s2019
WEISS R,ACCT,202,3.832258065,s2020
KUMAR V,ACCT,202,3.466666667,s2020
HORNUNG D,ACCT,202,3.318421053,s2020
HORNUNG D,ACCT,202,3.063888889,s2020
SCHWALB H,ACCT,202,3.035714286,s2020
SCHWALB H,ACCT,202,2.97037037,s2020
SCHWALB H,ACCT,202,2.565,s2020
HORNUNG D,ACCT,202,3.565,s2021
HORNUNG D,ACCT,202,3.535135135,s2021
KUMAR V,ACCT,202,3.181818182,s2021
WEISS R,ACCT,202,3.009090909,s2021
SCHWALB H,ACCT,202,2.9125,s2021
SCHWALB H,ACCT,202,2.873913043,s2021
HORNUNG D,ACCT,202,2.905,s2022
HORNUNG D,ACCT,202,2.657,s2022
SCHWALB H,ACCT,202,2.515,s2022
SCHWALB H,ACCT,202,2.5,s2022
COWAN DOCKERY M,ACCT,202,2.417,s2022
SCHWALB H,ACCT,202,2.7,s2023
KUMAR V,ACCT,202,2.625,s2023
HEASLIP K,ACCT,202,2.358,s2023
MINTZ S,ACCT,261,2.9625,f2017
MINTZ S,ACCT,261,3.204651163,f2017
LEIBOWICZ B,ACCT,261,2.076595745,f2017
LEIBOWICZ B,ACCT,261,2.033333333,f2017
MILICH M,ACCT,261,2.710869565,f2017
MILICH M,ACCT,261,2.5725,f2017
KIRSCHNER D,ACCT,261,3.095454545,f2017
SEYMORE J,ACCT,261,2.552941176,f2017
STEIN R,ACCT,261,3.235416667,f2017
HERCZOG L,ACCT,261,3.2525,f2018
STEIN R,ACCT,261,3.218421053,f2018
KIRSCHNER D,ACCT,261,3.136363636,f2018
MINTZ S,ACCT,261,3.086363636,f2018
MINTZ S,ACCT,261,2.961363636,f2018
HERCZOG L,ACCT,261,2.932432432,f2018
SEYMORE J,ACCT,261,2.805263158,f2018
MILICH M,ACCT,261,2.725641026,f2018
MILICH M,ACCT,261,2.492307692,f2018
STEIN R,ACCT,261,3.576666667,f2019
MINTZ S,ACCT,261,3.345714286,f2019
MINTZ S,ACCT,261,3.140625,f2019
KIRSCHNER D,ACCT,261,2.9375,f2019
SEYMORE J,ACCT,261,2.842105263,f2019
MILICH M,ACCT,261,2.806666667,f2019
LEIBOWICZ B,ACCT,261,2.703703704,f2019
MILICH M,ACCT,261,2.653571429,f2019
STEIN R,ACCT,261,4,f2020
SEYMORE J,ACCT,261,3.125714286,f2020
MILICH M,ACCT,261,3.108108108,f2020
LEIBOWICZ B,ACCT,261,3.040540541,f2020
LEIBOWICZ B,ACCT,261,2.942424242,f2020
KIRSCHNER D,ACCT,261,2.9,f2020
MILICH M,ACCT,261,2.735294118,f2020
STEIN R,ACCT,261,3.814,f2021
SEYMORE J,ACCT,261,3.151,f2021
KIRSCHNER D,ACCT,261,2.476,f2021
MILICH M,ACCT,261,2.473,f2021
MILICH M,ACCT,261,2.441,f2021
LEIBOWICZ B,ACCT,261,2.021,f2021
LEIBOWICZ B,ACCT,261,1.875,f2021
STEIN R,ACCT,261,3.577,f2022
STEIN R,ACCT,261,3.38,f2022
ALTMAN J,ACCT,261,3.007,f2022
ALTMAN J,ACCT,261,2.616,f2022
SEYMORE J,ACCT,261,2.57,f2022
LEIBOWICZ B,ACCT,261,2.192,f2022
LEIBOWICZ B,ACCT,261,2.016,f2022
STEIN R,ACCT,261,3.458,f2023
LEIBOWICZ B,ACCT,261,2.845,f2023
ALTMAN J,ACCT,261,2.732,f2023
ALTMAN J,ACCT,261,2.678,f2023
ALTMAN J,ACCT,261,2.432,f2023
KIRSCHNER D,ACCT,261,2.316,f2023
LEIBOWICZ B,ACCT,261,1.987878788,s2018
LEIBOWICZ B,ACCT,261,2.506451613,s2018
MINTZ S,ACCT,261,3.108108108,s2018
MINTZ S,ACCT,261,3.315217391,s2018
MILICH M,ACCT,261,2.408333333,s2018
MILICH M,ACCT,261,2.5,s2018
KIRSCHNER D,ACCT,261,3.157142857,s2018
SEYMORE J,ACCT,261,3.20625,s2018
STEIN R,ACCT,261,3.395833333,s2018
MINTZ S,ACCT,261,3.371428571,s2019
STEIN R,ACCT,261,3.322580645,s2019
KIRSCHNER D,ACCT,261,3.271428571,s2019
MINTZ S,ACCT,261,3.261764706,s2019
LEIBOWICZ B,ACCT,261,3.184615385,s2019
MILICH M,ACCT,261,2.85,s2019
MILICH M,ACCT,261,2.806666667,s2019
LEIBOWICZ B,ACCT,261,2.5875,s2019
SEYMORE J,ACCT,261,2.535,s2019
STEIN R,ACCT,261,3.580952381,s2020
SEYMORE J,ACCT,261,3.422222222,s2020
MILICH M,ACCT,261,3.408333333,s2020
MINTZ S,ACCT,261,3.241176471,s2020
MINTZ S,ACCT,261,3.141935484,s2020
KIRSCHNER D,ACCT,261,3.126315789,s2020
MILICH M,ACCT,261,2.961538462,s2020
LEIBOWICZ B,ACCT,261,2.876923077,s2020
STEIN R,ACCT,261,3.793181818,s2021
SEYMORE J,ACCT,261,3.425641026,s2021
LEIBOWICZ B,ACCT,261,3.359375,s2021
LEIBOWICZ B,ACCT,261,3.064705882,s2021
KIRSCHNER D,ACCT,261,2.625,s2021
MILICH M,ACCT,261,2.372972973,s2021
STEIN R,ACCT,261,3.45,s2022
STEIN R,ACCT,261,3.144,s2022
ALTMAN J,ACCT,261,3.113,s2022
MILICH M,ACCT,261,2.829,s2022
KIRSCHNER D,ACCT,261,2.808,s2022
SEYMORE J,ACCT,261,2.595,s2022
LEIBOWICZ B,ACCT,261,2.227,s2022
STEIN R,ACCT,261,3.52,s2023
STEIN R,ACCT,261,3.44,s2023
KIRSCHNER D,ACCT,261,2.953,s2023
LEIBOWICZ B,ACCT,261,2.747,s2023
ALTMAN J,ACCT,261,2.71,s2023
ALTMAN J,ACCT,261,2.648,s2023
HUANG Q,ACCT,305,3.644444444,f2017
HUANG Q,ACCT,305,3.311363636,f2017
COHEN M,ACCT,305,2.92,f2017
COHEN M,ACCT,305,2.626190476,f2017
COHEN M,ACCT,305,2.597222222,f2017
MAZZO M,ACCT,305,2.56,f2017
KESSAR N,ACCT,305,2.118181818,f2017
QURESHI A,ACCT,305,2.438235294,f2017
HUANG Q,ACCT,305,3.119047619,f2018
COHEN M,ACCT,305,3.008108108,f2018
COHEN M,ACCT,305,2.888888889,f2018
COHEN M,ACCT,305,2.816666667,f2018
HUANG Q,ACCT,305,2.709090909,f2018
QURESHI A,ACCT,305,2.572972973,f2018
KESSAR N,ACCT,305,2.225,f2018
MAZZO M,ACCT,305,1.8,f2018
COHEN M,ACCT,305,3.122222222,f2019
COHEN M,ACCT,305,3.111428571,f2019
COHEN M,ACCT,305,2.967567568,f2019
HUANG Q,ACCT,305,2.611538462,f2019
HUANG Q,ACCT,305,2.425,f2019
QURESHI A,ACCT,305,2.23030303,f2019
KESSAR N,ACCT,305,1.909090909,f2019
QURESHI A,ACCT,305,3.684615385,f2020
HUANG Q,ACCT,305,3.664102564,f2020
HUANG Q,ACCT,305,3.535294118,f2020
COHEN M,ACCT,305,3.3875,f2020
COHEN M,ACCT,305,3.216666667,f2020
COHEN M,ACCT,305,3.096774194,f2020
HUANG Q,ACCT,305,3.483,f2021
HUANG Q,ACCT,305,3.381,f2021
COHEN M,ACCT,305,3.164,f2021
COHEN M,ACCT,305,3.056,f2021
QURESHI A,ACCT,305,2.855,f2021
COHEN M,ACCT,305,2.854,f2021
COHEN M,ACCT,305,3.329,f2022
SUN F,ACCT,305,3.212,f2022
QURESHI A,ACCT,305,2.976,f2022
COHEN M,ACCT,305,2.936,f2022
YAN Y,ACCT,305,2.817,f2023
XIAO J,ACCT,305,2.588,f2023
SUN T,ACCT,305,2.58,f2023
HUANG Q,ACCT,305,3.089795918,s2018
COHEN M,ACCT,305,2.959375,s2018
COHEN M,ACCT,305,2.886842105,s2018
COHEN M,ACCT,305,2.770731707,s2018
MAZZO M,ACCT,305,2.383333333,s2018
KESSAR N,ACCT,305,2.07,s2018
QURESHI A,ACCT,305,3.1475,s2018
COHEN M,ACCT,305,3.2125,s2019
COHEN M,ACCT,305,3.006060606,s2019
COHEN M,ACCT,305,2.719047619,s2019
HUANG Q,ACCT,305,2.628571429,s2019
HUANG Q,ACCT,305,2.577272727,s2019
QURESHI A,ACCT,305,2.568965517,s2019
KESSAR N,ACCT,305,2.2,s2019
MAZZO M,ACCT,305,2.090909091,s2019
COHEN M,ACCT,305,3.813043478,s2020
COHEN M,ACCT,305,3.744444444,s2020
QURESHI A,ACCT,305,3.5875,s2020
COHEN M,ACCT,305,3.396428571,s2020
HUANG Q,ACCT,305,3.019047619,s2020
HUANG Q,ACCT,305,2.914814815,s2020
QURESHI A,ACCT,305,3.73,s2021
HUANG Q,ACCT,305,3.457142857,s2021
HUANG Q,ACCT,305,3.440909091,s2021
COHEN M,ACCT,305,3.244444444,s2021
COHEN M,ACCT,305,3.108333333,s2021
COHEN M,ACCT,305,3.029032258,s2021
HUANG Q,ACCT,305,3.364,s2022
COHEN M,ACCT,305,3.018,s2022
QURESHI A,ACCT,305,2.955,s2022
COHEN M,ACCT,305,2.905,s2022
HUANG Q,ACCT,305,2.838,s2022
COHEN M,ACCT,305,3.416,s2023
COHEN M,ACCT,305,3.369,s2023
QURESHI A,ACCT,305,3.294,s2023
SUN T,ACCT,305,2.7,s2023
STEVENS M,ACCT,306,2.491176471,f2017
STEVENS M,ACCT,306,2.41025641,f2017
ADELBERG A,ACCT,306,3.364285714,f2017
SOLIERI S,ACCT,306,2.529166667,f2017
MAZZO M,ACCT,306,2.042857143,f2017
QURESHI A,ACCT,306,3.358823529,f2017
